Date/Time	Lamp_State	Fan_State	Bathroom_Humidity	Bathroom_Temperature	Bedroom1_Humidity	Bedroom1_Temperature	Kitchen_Humidity	Kitchen_Temperature	Diningroom_Humidity	Diningroom_Temperature	Livingroom1_Humidity	Livingroom1_Temperature	Livingroom2_Humidity	Livingroom2_Temperature	Bedroom2_Humidity	Bedroom2_Temperature	
2019-07-11 12:16:11.188995	0	1	62.0	80.6	34.0	93.2	68.0	73.4	67.0	73.4	51.0	78.8	56.0	78.8	60.0	77.0	
2019-07-11 12:17:22.609965	0	1	62.0	80.6	39.0	89.6	68.0	73.4	67.0	73.4	52.0	78.8	56.0	77.0	60.0	77.0	
2019-07-11 12:18:41.609132	0	1	62.0	80.6	39.0	89.6	68.0	73.4	67.0	71.6	52.0	78.8	55.0	77.0	60.0	77.0	
2019-07-11 12:19:55.557432	0	1	63.0	78.8	41.0	87.8	67.0	73.4	67.0	73.4	51.0	77.0	55.0	77.0	59.0	77.0	
2019-07-11 12:20:59.357004	0	1	63.0	78.8	45.0	84.2	66.0	73.4	67.0	73.4	52.0	77.0	54.0	77.0	59.0	77.0	
2019-07-11 12:22:05.733052	0	1	63.0	78.8	46.0	84.2	66.0	73.4	67.0	73.4	52.0	77.0	54.0	75.2	59.0	77.0	
2019-07-11 12:23:12.064684	0	1	64.0	78.8	47.0	82.4	66.0	73.4	67.0	71.6	53.0	77.0	55.0	75.2	59.0	77.0	
2019-07-11 12:24:20.940489	0	1	63.0	77.0	47.0	80.6	66.0	73.4	67.0	71.6	53.0	75.2	55.0	75.2	59.0	75.2	
2019-07-11 12:25:27.268373	0	1	63.0	77.0	47.0	80.6	66.0	73.4	67.0	71.6	54.0	75.2	56.0	75.2	59.0	75.2	
2019-07-11 12:26:33.623261	0	1	64.0	77.0	49.0	80.6	63.0	73.4	67.0	71.6	54.0	75.2	56.0	75.2	58.0	75.2	
2019-07-11 12:27:42.526719	0	1	64.0	77.0	51.0	78.8	66.0	73.4	67.0	71.6	54.0	75.2	56.0	75.2	58.0	75.2	
2019-07-11 12:28:46.347378	0	1	64.0	77.0	52.0	78.8	66.0	73.4	67.0	71.6	55.0	75.2	57.0	73.4	58.0	75.2	
2019-07-11 12:29:55.209233	0	1	64.0	75.2	53.0	78.8	66.0	73.4	65.0	71.6	55.0	75.2	57.0	73.4	58.0	75.2	
2019-07-11 12:31:04.068749	0	1	65.0	75.2	54.0	77.0	161.0	51.8	65.0	71.6	55.0	75.2	57.0	73.4	58.0	75.2	
2019-07-11 12:32:07.884282	0	1	65.0	75.2	54.0	77.0	66.0	71.6	64.0	71.6	56.0	73.4	57.0	73.4	58.0	75.2	
2019-07-11 12:33:14.232417	0	1	65.0	75.2	55.0	77.0	66.0	71.6	65.0	71.6	56.0	73.4	58.0	73.4	58.0	75.2	
2019-07-11 12:34:18.041488	0	1	66.0	75.2	56.0	77.0	66.0	71.6	64.0	71.6	56.0	73.4	58.0	73.4	58.0	75.2	
2019-07-11 12:35:21.844867	0	1	66.0	75.2	56.0	75.2	67.0	71.6	65.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:36:30.725600	0	1	66.0	75.2	56.0	75.2	67.0	71.6	65.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:37:39.602232	0	1	66.0	75.2	57.0	75.2	67.0	71.6	65.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:38:43.423070	0	1	67.0	75.2	57.0	75.2	67.0	71.6	65.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:39:54.863834	0	1	67.0	75.2	58.0	75.2	66.0	71.6	65.0	71.6	57.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:40:58.681385	0	1	67.0	75.2	58.0	75.2	66.0	71.6	64.0	71.6	57.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:42:05.017817	0	1	67.0	73.4	58.0	75.2	66.0	71.6	64.0	71.6	57.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:43:08.809277	0	1	68.0	73.4	59.0	75.2	66.0	71.6	64.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:44:12.616241	0	1	68.0	73.4	59.0	75.2	66.0	71.6	64.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:45:24.022461	0	0	68.0	73.4	59.0	75.2	66.0	71.6	64.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:46:27.830995	0	0	68.0	73.4	59.0	75.2	66.0	71.6	65.0	71.6	59.0	73.4	60.0	73.4	58.0	75.2	
2019-07-11 12:47:36.699016	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	73.4	58.0	75.2	
2019-07-11 12:48:43.032195	0	0	68.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:49:54.446844	0	0	68.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	73.4	58.0	75.2	
