Date_Time,Lamp_State,Fan_State,Bathroom_Humidity,Bathroom_Temperature,Bedroom1_Humidity,Bedroom1_Temperature,Kitchen_Humidity,Kitchen_Temperature,Diningroom_Humidity,Diningroom_Temperature,Livingroom1_Humidity,Livingroom1_Temperature,Livingroom2_Humidity,Livingroom2_Temperature,Bedroom2_Humidity,Bedroom2_Temperature,Bedroom2-Bathroom_Door,Bedroom1-Livingroom_Door,Livingroom-Kitchen_Door,Livingroom-Bathroom_Door,Bedroom1-Bathroom_Door,N/A(Nothing),Bedroom1-Back_Door,Livingroom-Front_Door,Bedroom1-2ft_Window,Livingroom-2ft_Window,Bedroom2-2ft_Window,Kitchen-2ft_Window,Bedroom2-3ft_Window,Livingroom-3ft_Window,Kitchen-3ft_Window,Bedroom1-3ft_Window
2019-07-12-09:57:17.688485,1,0,58,86,32,100.4,66,73.4,65,71.6,48,80.6,51,78.8,60,77,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2019-07-12-09:58:21.499546,1,0,58,86,32,102.2,65,73.4,160,51.8,49,80.6,52,78.8,61,77,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2019-07-12-09:59:25.319533,1,0,58,86,29,102.2,65,73.4,65,71.6,49,80.6,53,78.8,61,77,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2019-07-12-10:00:41.804601,1,0,58,86,28,100.4,65,71.6,65,71.6,49,80.6,53,78.8,61,77,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2019-07-12-10:01:48.141337,1,0,58,86,28,100.4,65,73.4,65,71.6,49,80.6,52,78.8,61,77,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2019-07-12-10:02:51.950041,1,0,58,86,29,100.4,66,73.4,64,71.6,49,80.6,52,78.8,61,77,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2019-07-12-10:04:00.811489,1,0,58,86,29,100.4,66,73.4,65,71.6,49,80.6,52,78.8,61,77,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0
2019-07-12-10:05:12.209332,1,0,58,86,29,102.2,66,73.4,65,71.6,49,80.6,51,78.8,61,77,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0
2019-07-12-10:06:26.134057,1,0,58,86,29,102.2,67,73.4,62,71.6,49,80.6,49,78.8,61,77,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0
2019-07-12-10:07:37.519293,1,0,58,86,29,102.2,66,73.4,65,71.6,49,80.6,50,78.8,61,77,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0
2019-07-12-10:08:48.931665,1,0,57,86,28,102.2,66,73.4,64,71.6,49,80.6,53,80.6,61,77,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
2019-07-12-10:10:02.866194,1,0,57,86,28,102.2,67,73.4,65,71.6,49,80.6,53,80.6,61,77,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
